match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
11,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Group,Chennai Super Kings,field,250,3,207,10,Royal Challengers Bengaluru,Runs,43,TH David,Jitesh Sharma,131.0,Josh Hazlewood,3/32
12,2026-04-06,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Group,Punjab Kings,field,25,2,160,6,Kolkata Knight Riders,Wickets,4,Varun Chakravarthy,Arshdeep Singh,58.0,Arshdeep Singh,5/37
13,2026-04-07,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Mumbai Indians,Group,Mumbai Indians,bat,150,3,123,9,Rajasthan Royals,Runs,27,YBK Jaiswal,Tilak Varma,65.0,Jasprit Bumrah,5/34
14,2026-04-08,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Delhi Capitals,Group,Delhi Capitals,field,210,4,209,8,Gujarat Titans,Runs,1,Rashid Khan,Tristan Stubbs,48.0,Mitchell Starc,2/32
15,2026-04-09,"Eden Gardens, Kolkata",Kolkata Knight Riders,Lucknow Super Giants,Group,Lucknow Super Giants,field,181,4,182,7,Lucknow Super Giants,Wickets,3,MD Choudhary,Varun Chakravarthy,49.0,Ravi Bishnoi,3/26
16,2026-04-10,"Barsapara Cricket Stadium, Guwahati",Royal Challengers Bengaluru,Rajasthan Royals,Group,Royal Challengers Bengaluru,bat,201,8,202,4,Rajasthan Royals,Wickets,6,V Suryavanshi,Phil Salt,99.0,Josh Hazlewood,3/15
17,2026-04-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,Punjab Kings,Group,Sunrisers Hyderabad,field,219,6,223,4,Punjab Kings,Wickets,6,SS Iyer,Prabhsimran Singh,106.0,Mohammed Shami,4/33
18,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Group,Delhi Capitals,bat,212,2,189,10,Chennai Super Kings,Runs,23,SV Samson,Axar Patel,85.0,Noor Ahmad,2/25
19,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Group,Lucknow Super Giants,bat,164,8,165,3,Gujarat Titans,Wickets,7,M Prasidh Krishna,Rahul Tewatia,100.0,Mohammed Siraj,3/28
20,2026-04-12,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Group,Royal Challengers Bengaluru,field,240,4,222,6,Royal Challengers Bengaluru,Runs,18,PD Salt,Bhuvneshwar Kumar,38.0,Jasprit Bumrah,2/38
21,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Group,Rajasthan Royals,field,216,6,159,10,Sunrisers Hyderabad,Runs,57,PP Hinge,Yashasvi Jaiswal,28.0,Pat Cummins,4/33
22,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Group,Kolkata Knight Riders,field,192,5,160,7,Chennai Super Kings,Runs,32,Noor Ahmad,Khaleel Ahmed,40.0,Khaleel Ahmed,3/16
23,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bengaluru,Group,Lucknow Super Giants,field,146,10,149,5,Royal Challengers Bengaluru,Wickets,5,JR Hazlewood,Tim David,83.0,Ravi Bishnoi,5/13
24,2026-04-16,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Group,Mumbai Indians,bat,195,6,198,3,Punjab Kings,Wickets,7,Arshdeep Singh,Trent Boult,94.0,Arshdeep Singh,3/27
25,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Gujarat Titans,Group,Kolkata Knight Riders,bat,180,10,181,5,Gujarat Titans,Wickets,5,Shubman Gill,Jos Buttler,52.0,Mohammed Siraj,3/24
26,2026-04-18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Group,Delhi Capitals,field,175,8,179,5,Delhi Capitals,Wickets,6,T Stubbs,Tristan Stubbs,35.0,Bhuvneshwar Kumar,4/17
27,2026-04-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Group,Chennai Super Kings,field,194,9,184,8,Sunrisers Hyderabad,Runs,10,E Malinga,Mohammed Shami,124.0,Noor Ahmad,5/17
28,2026-04-19,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Lucknow Super Giants,Group,Lucknow Super Giants,field,254,7,200,5,Punjab Kings,Runs,54,Priyansh Arya,Yuzvendra Chahal,92.0,Ravi Bishnoi,2/18
29,2026-04-19,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Group,Rajasthan Royals,bat,155,9,161,6,Kolkata Knight Riders,Wickets,4,CV Varun,Varun Chakravarthy,83.0,Jofra Archer,3/12
30,2026-04-20,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Gujarat Titans,Group,Gujarat Titans,bat,199,5,100,10,Mumbai Indians,Runs,99,Tilak Varma,Hardik Pandya,112.0,Mohammed Siraj,3/15
31,2026-04-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Delhi Capitals,Group,Delhi Capitals,bat,242,2,195,9,Sunrisers Hyderabad,Runs,47,Abhishek Sharma,Abishek Porel,97.0,Pat Cummins,2/37
32,2026-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Lucknow Super Giants,Group,Lucknow Super Giants,bat,159,6,119,10,Rajasthan Royals,Runs,40,RA Jadeja,Mitchell Marsh,46.0,Jofra Archer,4/35
33,2026-04-23,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Group,Chennai Super Kings,bat,207,6,104,10,Chennai Super Kings,Runs,103,SV Samson,Hardik Pandya,60.0,Jasprit Bumrah,4/22
34,2026-04-24,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Royal Challengers Bengaluru,Group,Gujarat Titans,field,205,3,206,5,Royal Challengers Bengaluru,Wickets,5,V Kohli,Mohammed Siraj,26.0,Mohammed Siraj,2/13
35,2026-04-25,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Group,Delhi Capitals,bat,264,2,265,4,Punjab Kings,Wickets,6,KL Rahul,KL Rahul,40.0,Mitchell Starc,4/22
36,2026-04-25,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Group,Sunrisers Hyderabad,bat,228,6,229,5,Sunrisers Hyderabad,Wickets,5,Ishan Kishan,Nitish Kumar Reddy,65.0,Jofra Archer,5/25
37,2026-04-26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Lucknow Super Giants,Group,Kolkata Knight Riders,field,155,7,155,8,Kolkata Knight Riders,Super Over,5,RK Singh,Ayush Badoni,112.0,Ravi Bishnoi,4/13
38,2026-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Group,Gujarat Titans,bat,158,7,162,2,Gujarat Titans,Wickets,8,K Rabada,Ravindra Jadeja,67.0,Noor Ahmad,5/22
39,2026-04-27,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Royal Challengers Bengaluru,Group,Delhi Capitals,field,75,10,77,1,Royal Challengers Bengaluru,Wickets,9,JR Hazlewood,Kuldeep Yadav,28.0,Bhuvneshwar Kumar,2/15
40,2026-04-28,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Punjab Kings,Rajasthan Royals,Group,Punjab Kings,bat,222,4,228,4,Rajasthan Royals,Wickets,6,D Ferreira,Jofra Archer,101.0,Jofra Archer,2/25
41,2026-04-29,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Group,Mumbai Indians,field,243,5,249,4,Sunrisers Hyderabad,Wickets,6,H Klaasen,Ryan Rickelton,73.0,Mohammed Shami,3/36
42,2026-04-30,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Gujarat Titans,Group,Royal Challengers Bengaluru,bat,155,10,158,6,Gujarat Titans,Wickets,4,JO Holder,Mohammed Siraj,109.0,Bhuvneshwar Kumar,3/12
43,2026-05-01,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Group,Rajasthan Royals,field,225,6,226,3,Delhi Capitals,Wickets,7,KL Rahul,Abishek Porel,78.0,Kuldeep Yadav,2/38
44,2026-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Group,Mumbai Indians,bat,159,7,160,2,Chennai Super Kings,Wickets,8,RD Gaikwad,Ravindra Jadeja,130.0,Khaleel Ahmed,4/13
45,2026-05-03,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Gujarat Titans,Group,Punjab Kings,bat,163,9,167,6,Gujarat Titans,Wickets,4,JO Holder,Arshdeep Singh,53.0,Rashid Khan,5/34
46,2026-05-03,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Kolkata Knight Riders,Group,Kolkata Knight Riders,bat,165,10,169,3,Kolkata Knight Riders,Wickets,7,CV Varun,Venkatesh Iyer,60.0,Mohammed Shami,4/23
47,2026-05-04,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Group,Mumbai Indians,field,228,5,229,4,Mumbai Indians,Wickets,6,RD Rickelton,Trent Boult,85.0,Ravi Bishnoi,3/17
48,2026-05-05,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Chennai Super Kings,Group,Chennai Super Kings,bat,155,7,159,2,Chennai Super Kings,Wickets,8,SV Samson,Abishek Porel,25.0,Khaleel Ahmed,2/32
49,2026-05-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Punjab Kings,Group,Sunrisers Hyderabad,bat,235,4,202,7,Sunrisers Hyderabad,Runs,33,PJ Cummins,Pat Cummins,94.0,Mohammed Shami,2/12
50,2026-05-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru,Group,Lucknow Super Giants,field,209,3,203,6,Lucknow Super Giants,Runs,9,MR Marsh,Bhuvneshwar Kumar,75.0,Ravi Bishnoi,2/14
51,2026-05-08,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Kolkata Knight Riders,Group,Delhi Capitals,field,142,8,147,2,Kolkata Knight Riders,Wickets,8,FH Allen,Abishek Porel,58.0,Mitchell Starc,3/17
52,2026-05-09,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,Rajasthan Royals,Group,Rajasthan Royals,field,229,4,152,10,Gujarat Titans,Runs,77,Rashid Khan,Vaibhav Sooryavanshi,70.0,Rashid Khan,2/31
53,2026-05-10,"Shaheed Veer Narayan Singh International Stadium, Raipur",Mumbai Indians,Royal Challengers Bengaluru,Group,Royal Challengers Bengaluru,field,166,7,167,8,Royal Challengers Bengaluru,Wickets,2,B Kumar,Trent Boult,123.0,Bhuvneshwar Kumar,3/35
54,2026-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,Chennai Super Kings,Group,Lucknow Super Giants,bat,203,8,208,5,Chennai Super Kings,Wickets,5,J Overton,Aiden Markram,43.0,Ravi Bishnoi,2/38
55,2026-05-11,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Delhi Capitals,Group,Delhi Capitals,bat,210,5,216,7,Delhi Capitals,Wickets,3,M Tiwari,Nehal Wadhera,52.0,Mitchell Starc,3/16
56,2026-05-12,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Group,Gujarat Titans,field,168,5,86,10,Gujarat Titans,Runs,82,K Rabada,Sai Sudharsan,132.0,Rashid Khan,4/32
57,2026-05-13,"Shaheed Veer Narayan Singh International Stadium, Raipur",Kolkata Knight Riders,Royal Challengers Bengaluru,Group,Kolkata Knight Riders,field,192,4,194,4,Royal Challengers Bengaluru,Wickets,6,V Kohli,Ajinkya Rahane,88.0,Varun Chakravarthy,3/38
58,2026-05-14,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Mumbai Indians,Group,Mumbai Indians,field,200,8,205,4,Mumbai Indians,Wickets,6,Tilak Varma,Rohit Sharma,69.0,Jasprit Bumrah,5/36
59,2026-05-15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Lucknow Super Giants,Group,Lucknow Super Giants,field,187,5,188,3,Lucknow Super Giants,Wickets,7,MR Marsh,Aiden Markram,53.0,Noor Ahmad,4/22
60,2026-05-16,"Eden Gardens, Kolkata",Kolkata Knight Riders,Gujarat Titans,Group,Gujarat Titans,field,247,2,218,4,Kolkata Knight Riders,Runs,29,SP Narine,Harshit Rana,50.0,Varun Chakravarthy,4/36
61,2026-05-17,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Delhi Capitals,Group,Delhi Capitals,field,193,8,197,5,Delhi Capitals,Wickets,5,MA Starc,Tristan Stubbs,100.0,Kuldeep Yadav,5/35
62,2026-05-17,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Punjab Kings,Group,Royal Challengers Bengaluru,field,222,4,199,8,Royal Challengers Bengaluru,Runs,23,VR Iyer,Phil Salt,131.0,Bhuvneshwar Kumar,5/20
63,2026-05-18,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Group,Chennai Super Kings,field,180,7,181,5,Sunrisers Hyderabad,Wickets,5,Ishan Kishan,Sanju Samson,43.0,Noor Ahmad,5/32
64,2026-05-19,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,Rajasthan Royals,Group,Rajasthan Royals,field,220,5,225,3,Rajasthan Royals,Wickets,7,V Suryavanshi,Ravi Bishnoi,116.0,Ravi Bishnoi,4/15
65,2026-05-20,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Group,Kolkata Knight Riders,bat,147,8,148,6,Kolkata Knight Riders,Wickets,4,MK Pandey,Suryakumar Yadav,107.0,Varun Chakravarthy,3/12
66,2026-05-21,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Group,Chennai Super Kings,field,229,4,140,10,Gujarat Titans,Runs,89,Mohammed Siraj,Mohammed Siraj,99.0,Khaleel Ahmed,4/12
67,2026-05-22,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bengaluru,Group,Sunrisers Hyderabad,bat,255,4,200,4,Sunrisers Hyderabad,Runs,55,Ishan Kishan,Jitesh Sharma,109.0,Josh Hazlewood,3/37
68,2026-05-23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Group,Punjab Kings,field,196,6,200,3,Punjab Kings,Wickets,7,SS Iyer,Shreyas Iyer,72.0,Arshdeep Singh,2/15
69,2026-05-24,"Eden Gardens, Kolkata",Delhi Capitals,Kolkata Knight Riders,Group,Delhi Capitals,field,203,5,163,10,Delhi Capitals,Runs,40,Kuldeep Yadav,Sunil Narine,84.0,Mitchell Starc,3/34
70,2026-05-24,"Wankhede Stadium, Mumbai",Rajasthan Royals,Mumbai Indians,Group,Mumbai Indians,bat,205,8,175,9,Rajasthan Royals,Runs,30,JC Archer,Hardik Pandya,116.0,Jasprit Bumrah,2/12
71,2026-05-26,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Gujarat Titans,Playoff,Gujarat Titans,field,254,5,162,10,Royal Challengers Bengaluru,Runs,92,RM Patidar,Tim David,95.0,Rashid Khan,4/23
72,2026-05-27,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,Sunrisers Hyderabad,Playoff,Sunrisers Hyderabad,field,243,8,196,10,Rajasthan Royals,Runs,47,V Suryavanshi,Wanindu Hasaranga,66.0,Mohammed Shami,5/16
73,2026-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Rajasthan Royals,Gujarat Titans,Playoff,Rajasthan Royals,field,214,6,219,3,Gujarat Titans,Wickets,7,Shubman Gill,Prasidh Krishna,57.0,Mohammed Siraj,4/28
74,2026-05-31,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru,Playoff,Royal Challengers Bengaluru,field,155,8,161,5,Royal Challengers Bengaluru,Wickets,5,V Kohli,Mohammed Siraj,31.0,Rashid Khan,5/31
